time	XZ [min env]	FV [max env]	FV [min env]	XZ [max env]
21224.950000	9.353410	-94.929100	-1374.383450	157.980960
21274.950000	9.193870	-95.081690	-1376.405240	157.881240
21324.950000	9.333470	-94.890960	-1376.786720	158.020840
21374.950000	9.572790	-94.852810	-1377.702250	157.711720
21424.950000	9.493020	-94.128010	-1376.061920	157.921130
21474.950000	9.403270	-94.051720	-1376.252660	157.931100
21524.950000	9.373360	-93.288780	-1374.574180	157.911160
21574.950000	9.403270	-95.997220	-1374.650480	157.891210
21624.950000	9.483050	-95.844630	-1375.031950	157.781520
21674.950000	9.423220	-93.670250	-1375.070100	157.951040
21724.950000	9.602710	-94.318750	-1375.031950	157.831380
21774.950000	9.373360	-93.555810	-1374.917510	157.841350
21824.950000	9.582760	-95.005400	-1373.925680	157.921130
21874.950000	9.493020	-94.013570	-1375.718600	157.901180
21924.950000	9.403270	-93.632100	-1374.383450	157.921130
21974.950000	9.463100	-92.945450	-1373.506060	157.961010
22024.950000	9.592730	-93.593950	-1374.612330	157.831380
22074.950000	9.502990	-94.776520	-1373.048300	157.821410
22124.950000	9.363390	-93.326920	-1375.070100	157.701750
22174.950000	9.562820	-94.852810	-1374.879360	157.921130
22224.950000	9.532900	-95.692050	-1373.811240	157.721690
22274.950000	9.632620	-95.615750	-1374.612330	158.000900
22324.950000	9.582760	-93.212480	-1374.421590	157.970990
22374.950000	9.542880	-95.272430	-1374.879360	157.871270
22424.950000	9.582760	-93.975430	-1373.429770	157.881240
22474.950000	9.592730	-95.119840	-1374.574180	157.771550
22524.950000	9.562820	-94.890960	-1372.781270	157.951040
22574.950000	9.602710	-92.869160	-1373.506060	158.010870
22624.950000	9.542880	-95.043540	-1372.933860	157.961010
22674.950000	9.672510	-93.059890	-1374.726770	158.000900
22724.950000	9.642590	-96.035370	-1375.184540	157.871270
22774.950000	9.642590	-92.449540	-1374.116420	157.921130
22824.950000	9.662540	-94.967250	-1373.124590	157.731670
22874.950000	9.662540	-93.250630	-1372.972000	158.070700
22924.950000	9.712390	-94.929100	-1372.743120	157.811440
22974.950000	9.572790	-95.119840	-1373.734950	157.751610
23024.950000	9.852000	-94.166160	-1373.200890	157.990930
23074.950000	9.672510	-95.005400	-1371.789440	157.751610
23124.950000	9.672510	-93.975430	-1372.590530	157.831380
23174.950000	9.542880	-93.212480	-1372.857560	157.861300
23224.950000	9.592730	-93.365070	-1371.675000	157.961010
